,gene_id,gene_name
639,ENSMUSG00000045515,Pou3f3
640,ENSMUSG00000097063,Pantr2
641,ENSMUSG00000099784,Dalir
642,ENSMUSG00000060679,Mrps9
643,ENSMUSG00000077448,Gm23126
644,ENSMUSG00000041907,Gpr45
645,ENSMUSG00000089088,Gm24001
646,ENSMUSG00000070939,Tgfbrap1
647,ENSMUSG00000100269,Gm28782
648,ENSMUSG00000041878,8430432A02Rik
649,ENSMUSG00000010290,AI597479
650,ENSMUSG00000008136,Fhl2
651,ENSMUSG00000094497,Gm8210
652,ENSMUSG00000099576,Gm29040
653,ENSMUSG00000099694,Gm29610
654,ENSMUSG00000101923,Gm29041
655,ENSMUSG00000066877,Nck2
656,ENSMUSG00000103422,Gm37536
657,ENSMUSG00000103945,Gm38228
658,ENSMUSG00000026051,1500015O10Rik
659,ENSMUSG00000100764,Gm29155
660,ENSMUSG00000100635,Gm29157
661,ENSMUSG00000100480,Gm29156
662,ENSMUSG00000057363,Uxs1
663,ENSMUSG00000090243,Gm16103
664,ENSMUSG00000100701,Gm19587
665,ENSMUSG00000101395,Gm8241
666,ENSMUSG00000088848,Gm26352
667,ENSMUSG00000095757,Gm24180
668,ENSMUSG00000041763,Tpp2
669,ENSMUSG00000047343,Mettl21c
670,ENSMUSG00000090106,Gm15838
671,ENSMUSG00000091844,Gm8251
672,ENSMUSG00000026049,Tex30
673,ENSMUSG00000101104,Gm29247
674,ENSMUSG00000026047,Kdelc1
675,ENSMUSG00000041684,Bivm
676,ENSMUSG00000026048,Ercc5
677,ENSMUSG00000046828,Mettl21e
678,ENSMUSG00000089703,Gm15833
679,ENSMUSG00000100966,Gm5700
680,ENSMUSG00000100769,Gm28893
681,ENSMUSG00000101567,Txn-ps1
682,ENSMUSG00000056870,Gulp1
683,ENSMUSG00000102319,Gm37626
684,ENSMUSG00000089877,Gm16102
685,ENSMUSG00000101701,4930521E06Rik
686,ENSMUSG00000103071,Gm38110
687,ENSMUSG00000100434,Gm3489
